name,area,popall,popcity,companies,worker,industry_comp,big_comp
高明区明城镇,18341,36885,21720,837,15480,289,89
高明区更合镇,34701,48312,48312,443,10238,185,54
蓬江区棠下镇,13102,105863,4460,2679,63354,881,113
蓬江区荷塘镇,3200,82901,10378,1302,53299,1108,96
蓬江区杜阮镇,8052,115873,36891,2760,53520,1628,110
新会区大泽镇,8176,49124,2135,571,10163,536,41
新会区司前镇,8990,75131,8340,405,16077,362,62
新会区罗坑镇,12290,23025,2163,412,6125,201,14
新会区双水镇,20744,92392,2842,1112,12522,340,32
新会区崖门镇,29841,54006,12555,252,9125,182,36
新会区沙堆镇,9788,35623,1419,138,11863,52,20
新会区古井镇,11232,35230,4527,415,4265,202,25
新会区三江镇,8237,50060,1331,216,4883,147,27
新会区睦洲镇,7980,38568,4946,483,4057,113,26
新会区大鳌镇,5251,38322,3956,158,8343,58,8
台山市大江镇,6903,44598,9868,459,8066,376,31
台山市水步镇,11461,41071,10043,482,5242,171,30
台山市四九镇,24659,35913,13743,374,16726,172,25
台山市白沙镇,16984,57477,16899,230,7294,37,7
台山市三合镇,21406,34055,16893,149,3475,105,4
台山市冲蒌镇,11471,36091,15892,169,3765,40,10
台山市斗山镇,13705,45415,8368,192,1840,32,6
台山市都斛镇,15422,43062,7085,136,2225,25,1
台山市赤溪镇,28222,30657,11785,185,3254,63,
台山市端芬镇,29931,49645,14330,155,1406,38,6
台山市广海镇,13792,40948,32123,231,3561,86,7
台山市海宴镇,24591,69346,8137,185,3078,29,4
台山市汶村镇,16434,52200,16556,134,2076,31,1
台山市深井镇,31983,46738,4259,111,790,5,
台山市北陡镇,17943,25879,6650,94,1317,18,
台山市川岛镇,28045,33329,938,285,5040,3,
开平市沙塘镇,8530,23247,885,94,1539,55,17
开平市苍城镇,12810,31445,3444,124,632,53,18
开平市龙胜镇,16380,37199,1080,99,4450,49,6
开平市大沙镇,21560,22915,1403,48,405,11,
开平市马冈镇,9230,37532,1360,63,3480,13,1
开平市塘口镇,7280,26315,848,97,2215,46,4
开平市赤坎镇,6210,27564,2055,129,6000,66,20
开平市百合镇,6630,17332,1147,85,1766,38,5
开平市蚬冈镇,6790,14365,944,35,436,12,3
开平市金鸡镇,12050,18009,1030,74,1940,21,2
开平市月山镇,12120,47764,2566,169,3755,96,16
开平市赤水镇,28390,37971,596,58,321,9,2
开平市水口镇,8050,74889,8174,1170,45138,732,97
鹤山市龙口镇,15888,43227,7088,231,8625,163,33
鹤山市雅瑶镇,8230,42271,20253,602,18352,301,44
鹤山市古劳镇,6822,32527,9808,287,25861,150,26
鹤山市桃源镇,5547,30631,13327,593,15964,219,36
鹤山市鹤城镇,15900,33834,9218,374,26178,202,50
鹤山市共和镇,8993,32100,21828,588,14322,256,57
鹤山市址山镇,9822,46500,7203,791,18665,539,50
鹤山市宅梧镇,20506,28041,4574,198,4884,83,7
鹤山市双合镇,12346,16330,2260,196,4120,96,9
恩平市横陂镇,20173,22726,5836,32,4327,17,7
恩平市圣堂镇,5665,21985,3762,42,1306,26,4
恩平市良西镇,12175,22961,2071,59,325,4,2
恩平市沙湖镇,16486,50347,8685,181,9300,21,16
恩平市牛江镇,9100,20292,1809,730,4430,294,4
恩平市君堂镇,10060,46335,9312,43,700,25,1
恩平市大田镇,20236,24202,855,49,730,19,
恩平市那吉镇,26000,12563,2318,20,1481,18,2
恩平市大槐镇,12200,17618,3879,384,6619,46,11
恩平市东成镇,11297,25702,1381,252,2614,97,5
坡头区南三镇,16463,78861,4561,124,621,4,
坡头区坡头镇,8906,68789,7578,73,3358,30,11
坡头区乾塘镇,4889,38356,1942,2,20,2,
坡头区龙头镇,11339,63734,9301,1354,5768,188,14
坡头区官渡镇,9505,62255,4358,84,9513,75,29
麻章区麻章镇,13444,106797,48992,1526,28594,298,58
麻章区太平镇,12135,86530,25671,85,3651,21,5
麻章区湖光镇,15242,74905,5688,129,1159,20,3
麻章区硇洲镇,5600,45383,13547,26,210,4,
遂溪县遂城镇,26500,262136,163254,1569,27578,289,36
遂溪县黄略镇,14900,84363,7058,386,5038,386,14
遂溪县洋青镇,16833,79761,6798,108,931,43,13
遂溪县界炮镇,13297,63643,8908,125,3556,13,1
遂溪县乐民镇,9650,39448,5527,25,165,15,
遂溪县江洪镇,5948,32135,12274,70,453,15,1
遂溪县杨柑镇,18710,94961,10762,214,1640,19,3
遂溪县城月镇,20909,92608,36163,209,2721,37,11
遂溪县乌塘镇,4970,17152,2073,5,245,5,4
遂溪县建新镇,5743,19612,1357,3,159,3,3
遂溪县岭北镇,10906,24086,13352,96,3781,68,21
遂溪县北坡镇,16400,30145,10950,135,1295,24,4
遂溪县港门镇,9800,40289,7125,12,168,2,2
遂溪县草潭镇,12275,68373,7236,30,3312,12,4
遂溪县河头镇,14400,34035,10616,96,2325,40,1
徐闻县迈陈镇,12300,74725,9153,40,762,20,
徐闻县海安镇,3685,25925,7046,131,1962,67,
徐闻县曲界镇,15593,44612,13502,37,890,37,1
徐闻县前山镇,11522,33012,3573,14,300,9,3
徐闻县西连镇,8100,42522,3262,18,218,18,
徐闻县下桥镇,15025,42237,5681,18,1180,12,4
徐闻县龙塘镇,18405,59252,5977,20,432,6,
徐闻县下洋镇,7500,30763,3360,19,187,1,1
徐闻县锦和镇,11169,37967,7538,83,756,12,1
徐闻县和安镇,5888,31797,6150,99,841,13,1
徐闻县新寮镇,8595,29280,5572,3,170,3,1
徐闻县南山镇,13537,78253,3121,149,440,46,4
徐闻县城北乡,12500,39026,,48,367,7,3
徐闻县角尾乡,5020,27213,3880,3,338,3,3
廉江市石城镇,12700,74327,6000,200,5177,175,11
廉江市新民镇,10200,44957,2566,238,2861,188,9
廉江市吉水镇,11100,77249,3245,272,13862,251,65
廉江市河唇镇,16002,84186,15822,108,2298,88,8
廉江市石角镇,16400,49128,4125,332,1600,10,
廉江市良垌镇,28900,113276,7325,118,2729,72,5
廉江市横山镇,18561,113721,7419,239,2673,90,17
廉江市安铺镇,8550,108556,53856,206,10113,128,21
廉江市营仔镇,20400,74710,7849,141,1839,53,11
廉江市青平镇,27664,101447,18484,213,2568,37,8
廉江市车板镇,11100,41054,3669,141,707,128,3
廉江市高桥镇,12118,48266,1037,31,1206,11,6
廉江市石岭镇,22500,102199,28038,269,21186,90,54
廉江市雅塘镇,7600,40592,2487,47,1612,39,2
廉江市石颈镇,9041,43014,2159,38,1473,12,1
廉江市长山镇,13800,52805,7512,245,2314,51,2
廉江市塘蓬镇,16200,72125,10890,126,3594,43,4
廉江市和寮镇,10655,34543,3126,124,705,119,
雷州市白沙镇,11053,88588,5223,1124,12314,76,6
雷州市沈塘镇,6660,58163,4628,25,151,7,
雷州市客路镇,33433,115123,25511,161,810,51,2
雷州市杨家镇,16395,86674,14326,33,226,8,3
雷州市唐家镇,19200,50787,13895,50,3716,41,4
雷州市企水镇,10601,50726,20384,46,421,12,1
雷州市纪家镇,33913,110480,7366,50,600,40,2
雷州市松竹镇,6793,71241,1923,32,365,23,3
雷州市南兴镇,13500,84190,11312,168,10251,39,2
雷州市雷高镇,16503,44103,6073,19,1843,11,1
雷州市东里镇,13600,62008,9006,4,312,1,1
雷州市调风镇,22148,68551,10850,31,1345,20,2
雷州市龙门镇,25333,91792,39120,231,2491,64,5
雷州市英利镇,26500,86995,31549,136,5698,53,8
雷州市北和镇,18376,86004,10561,135,1425,6,1
雷州市乌石镇,12690,89208,25813,42,1368,27,3
雷州市覃斗镇,10400,53542,3752,30,2540,4,2
雷州市附城镇,12900,109361,3600,50,751,26,6
吴川市浅水镇,7809,42247,7850,54,1009,53,3
吴川市长岐镇,6050,78950,3593,83,1392,28,5
吴川市覃巴镇,7706,66913,4500,210,3650,121,7
吴川市王村港镇,2620,27145,5019,8,290,6,4
吴川市振文镇,5820,107136,2132,98,1440,22,6
吴川市樟铺镇,5238,60424,2295,89,919,23,2
吴川市吴阳镇,8160,86583,12187,27,142,15,1
吴川市塘缀镇,11843,121008,13637,96,986,19,13
吴川市黄坡镇,15327,137232,41950,483,4972,120,14
吴川市兰石镇,3315,34875,8391,22,183,2,2
茂南区金塘镇,10443,70980,4210,1534,2500,48,12
茂南区公馆镇,10360,69201,2963,295,7145,142,15
茂南区新坡镇,2479,34180,7126,390,5180,360,16
茂南区镇盛镇,5959,56570,56570,57,733,47,5
茂南区鳌头镇,5476,74597,2955,94,2653,92,2
茂南区袂花镇,2559,41809,2129,122,1135,86,2
茂南区高山镇,1219,20115,3290,1658,18020,157,5
茂南区山阁镇,4474,32709,986,89,3633,53,14
电白区羊角镇,10146,22572,9857,557,5977,80,12
电白区马踏镇,15599,69886,2745,24,415,9,3
电白区岭门镇,10254,65838,4883,69,871,34,12
电白区坡心镇,5254,63202,2557,131,3278,48,6
电白区七迳镇,8036,72240,3336,320,6558,129,45
电白区树仔镇,6592,50477,3283,95,1536,58,12
电白区沙院镇,4718,40820,6819,128,1402,80,18
电白区麻岗镇,9426,62368,3908,81,1011,47,19
电白区旦场镇,8774,63744,5064,68,1067,21,8
电白区小良镇,6288,46282,2053,76,698,46,6
电白区霞洞镇,12907,77120,2803,57,1241,34,16
电白区观珠镇,18962,83324,5512,52,682,24,5
电白区沙琅镇,9890,71631,13478,78,1113,28,7
电白区黄岭镇,7833,34614,2114,36,524,12,8
电白区望夫镇,9532,29359,1025,21,313,8,1
电白区罗坑镇,15107,28962,1544,44,429,35,1
电白区那霍镇,14106,51342,2498,45,532,23,2
电白区水东镇,3923,151738,126395,1551,62259,270,30
电白区博贺镇,5663,71075,20843,67,1696,33,4
电白区林头镇,14120,120817,10165,122,1612,57,16
电白区电城镇,15743,146137,20948,58,1855,20,6
电白区陈村镇,3630,50593,14002,100,1115,45,8
高州市谢鸡镇,10320,57363,4255,23,597,13,5
高州市新垌镇,16816,57382,1792,124,1461,28,3
高州市云潭镇,8491,44009,3150,168,5700,49,4
高州市分界镇,6660,40849,2680,208,6334,49,6
高州市根子镇,8700,56367,6491,178,3104,21,5
高州市泗水镇,7600,47923,3902,22,497,18,2
高州市镇江镇,10100,39523,2160,46,1380,23,9
高州市沙田镇,9800,34632,2384,60,1392,9,4
高州市南塘镇,14800,47313,2801,79,1400,23,7
高州市荷花镇,10703,38552,1237,46,3650,24,4
高州市石板镇,9100,40117,1591,103,2611,43,8
高州市大井镇,12800,39142,13474,130,1500,47,6
高州市潭头镇,10300,41862,2232,90,1209,15,4
高州市大坡镇,23600,50821,8220,112,1208,53,5
高州市平山镇,14900,32661,1350,187,1028,186,4
高州市深镇镇,12132,28238,1130,277,1385,40,2
高州市马贵镇,15723,31669,2543,80,703,37,2
高州市古丁镇,11200,33186,4460,67,558,16,1
高州市曹江镇,12500,72546,1694,153,2815,51,8
高州市荷塘镇,11600,31732,1376,154,2311,25,7
高州市石鼓镇,15524,108408,39980,148,4230,131,27
高州市东岸镇,26040,78733,3597,112,562,7,4
高州市长坡镇,22438,90320,5750,354,1775,254,4
化州市长岐镇,3700,43193,1538,48,870,12,3
化州市同庆镇,6040,56872,6951,165,4263,51,10
化州市杨梅镇,9200,82758,2260,168,7328,22,5
化州市良光镇,10800,57074,6647,34,1899,21,12
化州市笪桥镇,9460,46639,1738,20,1648,10,6
化州市丽岗镇,7860,49074,2850,68,2952,18,8
化州市新安镇,15495,45720,4621,68,2993,35,4
化州市官桥镇,11420,55645,5187,136,1345,14,5
化州市林尘镇,12500,56306,4500,70,1080,12,4
化州市合江镇,17625,74510,5166,131,6571,34,10
化州市那务镇,17930,95808,4268,133,13864,121,5
化州市播扬镇,12590,36752,3956,68,1755,16,7
化州市宝圩镇,5280,21812,4927,103,4350,92,7
化州市平定镇,21680,71063,7510,509,5930,80,10
化州市文楼镇,15905,60448,1880,49,1947,43,7
化州市江湖镇,5819,28690,2574,130,4231,10,6
化州市中垌镇,23450,113266,12603,245,1503,114,7
信宜市镇隆镇,8050,55318,20049,281,3358,200,21
信宜市水口镇,12380,58475,5232,119,2548,39,5
信宜市丁堡镇,8149,40007,920,39,1421,36,5
信宜市池洞镇,14625,59276,7324,40,3026,34,7
信宜市贵子镇,15865,38225,14212,102,3247,32,6
信宜市怀乡镇,16213,66535,12875,131,8955,122,21
信宜市茶山镇,10120,20448,5310,16,389,10,1
信宜市洪冠镇,14891,37725,2338,162,1095,70,3
信宜市白石镇,18010,58295,6984,102,1678,28,4
信宜市大成镇,12828,32427,3623,269,10518,201,14
信宜市钱排镇,20491,58340,5800,169,2300,30,2
信宜市合水镇,14118,34890,5102,189,3643,150,4
信宜市新宝镇,18449,29331,29331,87,805,40,3
信宜市平塘镇,19058,43426,4905,48,1270,38,2
信宜市思贺镇,18105,28206,28206,61,405,3,
信宜市金垌镇,19571,31298,2437,32,372,7,4
信宜市朱砂镇,28203,67300,8208,875,8806,825,11
信宜市北界镇,18294,76102,4616,186,2000,94,5
鼎湖区永安镇,7835,32362,3801,122,9756,58,24
鼎湖区沙浦镇,11900,19189,1246,38,446,9,
鼎湖区凤凰镇,16192,8397,1251,74,2071,24,2
鼎湖区莲花镇,8722,34133,8562,194,13581,77,23
高要区河台镇,14805,17582,1538,16,928,16,
高要区乐城镇,9456,28003,1654,10,387,10,
高要区水南镇,11069,8804,1183,9,211,7,
高要区禄步镇,25138,66908,6607,458,6212,23,6
高要区小湘镇,19976,33537,6442,38,3608,38,12
高要区大湾镇,10163,44863,8915,119,655,20,9
高要区新桥镇,3451,40615,13065,43,8036,33,13
高要区白诸镇,12749,45321,1543,46,3456,45,8
高要区莲塘镇,11979,56209,17991,203,2324,84,8
高要区活道镇,23106,38577,1918,104,1058,34,3
高要区蛟塘镇,12990,34180,15328,118,4253,55,19
高要区回龙镇,11383,25318,1284,49,2382,36,12
高要区白土镇,10753,75214,40226,255,11267,163,26
高要区金渡镇,13132,52676,44043,538,21235,352,50
高要区金利镇,15238,98512,7316,4016,20480,221,53
高要区蚬岗镇,7207,32440,12518,116,5316,92,11
广宁县排沙镇,15315,25791,6041,145,779,125,4
广宁县潭布镇,13204,27192,6001,15,234,8,
广宁县江屯镇,24755,48133,6622,395,2361,31,2
广宁县螺岗镇,9735,10785,766,12,60,4,
广宁县北市镇,23024,18108,3788,130,650,15,
广宁县坑口镇,18094,25362,3296,349,2311,28,2
广宁县赤坑镇,17993,17935,2306,54,270,26,
广宁县南街镇,18923,91655,54559,1431,7403,289,20
广宁县宾亨镇,17228,39722,7778,92,2652,64,18
广宁县五和镇,11685,17670,4185,298,2931,31,18
广宁县横山镇,13640,35367,7619,162,3560,33,5
广宁县木格镇,12319,16562,1708,18,596,9,5
广宁县石咀镇,8369,12723,3356,17,330,5,
广宁县古水镇,25987,38324,5811,182,5401,179,8
广宁县洲仔镇,15273,16671,3516,41,430,7,1
怀集县怀城镇,33624,159083,159083,341,4575,193,14
怀集县闸岗镇,8726,16101,1115,11,76,6,
怀集县坳仔镇,22152,34213,2810,44,734,43,6
怀集县汶朗镇,8668,10444,459,10,250,3,2
怀集县甘洒镇,12828,22961,985,10,20,9,
怀集县凤岗镇,27777,34951,2142,35,583,26,3
怀集县洽水镇,52900,27744,3516,284,812,126,3
怀集县梁村镇,8785,66478,10562,15,140,10,1
怀集县大岗镇,11747,63438,3527,19,241,,
怀集县岗坪镇,5527,30663,1785,24,785,17,1
怀集县冷坑镇,19322,97293,9018,64,4251,41,
怀集县马宁镇,5878,40750,2418,18,750,10,1
怀集县蓝钟镇,19849,17940,1825,146,330,50,
怀集县永固镇,19000,38937,2642,13,112,8,
怀集县诗洞镇,32950,55960,5016,17,196,13,1
怀集县桥头镇,21064,46827,4829,75,2156,5,3
怀集县中洲镇,25185,39959,6130,72,2953,52,8
怀集县连麦镇,12258,31832,1058,574,648,26,1
怀集县下帅壮族瑶族乡,7659,9221,9221,22,241,9,
封开县江口镇,17700,55855,11363,449,12361,59,
封开县江川镇,11986,12043,1942,38,1480,38,1
封开县白垢镇,14145,12441,2048,34,715,26,
封开县大洲镇,16273,15974,2700,39,514,6,
封开县渔涝镇,10146,18542,7537,116,1873,61,1
封开县河儿口镇,21803,19122,2473,49,3130,48,1
封开县连都镇,25567,31961,2814,305,7029,43,1
封开县杏花镇,15607,22239,3188,93,1384,30,
封开县罗董镇,18000,25458,1997,420,750,230,
封开县长岗镇,15300,23815,3039,180,5613,162,6
封开县平凤镇,11193,17883,3131,51,680,39,
封开县南丰镇,30600,74268,22756,235,7052,229,1
封开县大玉口镇,13090,12734,3052,13,769,13,
封开县都平镇,13087,8675,1850,9,213,9,
封开县金装镇,12711,42749,3840,26,1258,24,
封开县长安镇,14211,38291,7352,13,1469,13,
德庆县新圩镇,11518,21174,3215,56,2238,23,1
德庆县回龙镇,15812,20212,2834,39,2215,19,1
德庆县官圩镇,23256,32478,4501,89,614,62,12
德庆县马圩镇,11065,20238,5617,15,631,15,2
德庆县高良镇,29470,30014,5250,65,1385,20,1
德庆县莫村镇,26950,29670,3605,75,450,72,1
德庆县永丰镇,13241,20991,3926,23,887,17,2
